TipodeInstancia;N;Target(B);SumaConseguida;Gap(%);Tiempo(μs)
Aleatorio;1000;688000;687750;0.04;93.70
Aleatorio;100;90500;89783;0.79;8.82
Aleatorio;10;8000;7898;1.27;2.15
Aleatorio;500;432000;431885;0.03;39.58
Aleatorio;50;33900;33259;1.89;4.05
General;1000;62429810;62429784;0.00;87.26
General;100;85165;85123;0.05;9.30
General;10;95;93;2.11;2.38
General;500;8280079;8280077;0.00;42.44
General;50;9776;9758;0.18;5.01
Hard Disperso;1000;636000;539657;15.15;90.36
Hard Disperso;100;53500;41778;21.91;9.30
Hard Disperso;10;8640;6696;22.50;1.91
Hard Disperso;500;475500;378151;20.47;42.44
Hard Disperso;50;28500;22096;22.47;5.01
Trivial;1000;310969843;310969840;0.00;5.72
Trivial;100;4257051;4257049;0.00;0.95
Trivial;10;31836;31831;0.02;0.48
Trivial;500;84428646;84428637;0.00;3.10
Trivial;50;706782;706778;0.00;0.48
